Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
modul,modul,90,330,4,0.468951,0.548135,8430.278429,0,0,0.231092,0.231093,0.01595
modul ajar,,45,163,4,0.408582,0.466514,1522.828925,0,0,0.130944,0.130944,0.007918
buku pedoman,,10,94,5,0.330566,0.353158,22.51682,1,0,0.012859,0.012859,0.002173
permainan tradisional,permainan tradisional,19,111,5,0.377261,0.414726,592.378055,1,0,0.03549,0.03549,0.00375
media,media,123,309,4,0.541409,0.619482,17832.373412,3,0,0.309128,0.309127,0.022187
media pembelajaran,media pembelajaran,57,114,4,0.454357,0.511796,2745.156632,3,0,0.168166,0.168166,0.010269
pendidikan karakter,pendidikan karakter,25,91,4,0.409346,0.449201,1826.372,1,0,0.046262,0.046262,0.005146
hasil belajar,hasil belajar,78,199,5,0.486127,0.552207,6450.12341,3,0,0.229471,0.229471,0.014037
hots,HOTS,18,56,5,0.362883,0.400266,268.538102,0,0,0.048116,0.048117,0.003481
lkpd,LKPD,52,146,4,0.436255,0.493341,4018.667411,1,0,0.13109,0.131091,0.009548
pedagogi reflektif,pedagogi reflektif,18,42,5,0.358429,0.3914,250.421412,1,0,0.035527,0.035527,0.003256
modul pembelajaran,,19,52,4,0.396739,0.432839,239.504258,0,0,0.065462,0.065463,0.003504
berpikir kritis,berpikir kritis,40,116,4,0.437562,0.485921,1295.274364,0,0,0.151885,0.151885,0.006868
pembelajaran berbasis projek,PjBL,47,157,4,0.452479,0.502473,3135.136338,0,0,0.151533,0.151533,0.008605
pembelajaran berdiferensiasi,diferensiasi,26,61,4,0.409346,0.449391,631.640575,0,0,0.093177,0.093177,0.004715
berbicara,berbicara,36,66,4,0.432806,0.476598,2593.92491,5,0,0.079391,0.079391,0.007178
keterampilan berbicara,,23,41,4,0.411268,0.44825,623.216969,5,0,0.066749,0.066748,0.004511
motivasi belajar,motivasi belajar,54,97,4,0.472492,0.522451,6433.418243,3,0,0.144957,0.144957,0.010636
berpikir kreatif,berpikir kreatif,19,63,4,0.410497,0.446347,210.874544,0,0,0.090252,0.090253,0.00339
cerita bergambar,cerita bergambar,14,51,5,0.376936,0.409209,625.120077,3,0,0.038818,0.038818,0.002973
kurikulum 2022,,7,28,5,0.34326,0.370129,5.975316,1,0,0.027297,0.027297,0.001509
anak,,12,30,4,0.339798,0.367199,210.474553,2,0,0.01356,0.01356,0.002801
iman,iman,24,65,4,0.404059,0.4414,1462.06514,2,0,0.040396,0.040396,0.005234
problem based learning,PBL,71,139,4,0.469957,0.534247,5338.758071,0,0,0.216092,0.216092,0.012361
buku,buku,23,53,5,0.388988,0.428805,1205.21395,3,0,0.046737,0.046737,0.00481
kooperatif,kooperatif,27,74,4,0.431527,0.469939,919.111256,3,0,0.10056,0.10056,0.004955
minat belajar,minat belajar,39,64,4,0.440201,0.487062,1413.878683,3,0,0.14461,0.14461,0.006944
karakter,karakter,32,59,4,0.446483,0.486111,3029.610071,1,0,0.081269,0.081269,0.006248
laboratorium virtual,,9,28,5,0.357551,0.385845,41.715566,1,0,0.029072,0.029072,0.00191
literasi sains,literasi sains,15,42,5,0.378238,0.410921,570.157905,1,0,0.036717,0.036717,0.003222
akm,AKM,17,38,4,0.4,0.435122,892.202633,4,0,0.055417,0.055417,0.003291
numerasi,numerasi,30,49,4,0.413989,0.458333,1177.010325,4,0,0.09474,0.09474,0.005349
bahasa figuratif,,4,19,5,0.312857,0.33105,87.211468,6,0,0.00397,0.00397,0.001319
lagu,,12,30,5,0.350962,0.378957,901.675757,6,0,0.017446,0.017446,0.003035
novel,novel,21,44,5,0.359606,0.39258,1793.950616,6,0,0.01166,0.01166,0.005466
tokoh utama,,11,23,4,0.361088,0.385464,157.623984,6,0,0.012496,0.012496,0.002609
literasi,,9,18,5,0.365609,0.394292,259.905335,3,0,0.026548,0.026548,0.001977
ipa,,16,41,4,0.393885,0.427131,246.895288,0,0,0.061752,0.061752,0.003029
ipas,,18,38,4,0.421965,0.454909,436.448069,0,0,0.091609,0.091609,0.003262
buku soal,,6,23,5,0.328336,0.353805,12.999715,4,0,0.017722,0.017722,0.001288
computational thinking,computational thinking,16,28,4,0.400732,0.434741,322.890504,4,0,0.068765,0.068765,0.002978
evaluasi,evaluasi,13,24,5,0.368687,0.398744,606.291619,1,0,0.033414,0.033414,0.002861
guru,guru,44,74,4,0.430678,0.481735,3678.296468,5,0,0.071917,0.071916,0.008916
persepsi,persepsi,73,137,4,0.494915,0.552702,9701.227422,5,0,0.180416,0.180415,0.014225
orang tua,,17,32,4,0.380539,0.4121,1103.380006,2,0,0.02798,0.02798,0.00394
inkuiri,,15,29,5,0.386926,0.420167,227.781062,1,0,0.0559,0.0559,0.002856
ips,,23,47,4,0.423188,0.460236,471.749448,0,0,0.100605,0.100605,0.004089
tgt,,5,18,5,0.354943,0.378272,2.854316,3,0,0.029551,0.029551,0.001122
lirik,,5,15,5,0.278803,0.295129,13.551978,6,0,0.001573,0.001573,0.001596
literasi digital,,17,31,4,0.419942,0.451674,531.440588,0,0,0.069568,0.069568,0.003338
montessori,,15,30,5,0.383202,0.416819,219.276347,3,0,0.062204,0.062204,0.002833
working memory,,8,21,5,0.361088,0.387709,8.433466,3,0,0.032089,0.032089,0.001678
menulis,menulis,43,78,4,0.440644,0.490107,2921.768433,5,0,0.107158,0.107157,0.008156
menulis akademik,,8,17,5,0.319009,0.34102,16.591114,5,0,0.009667,0.009667,0.001863
bermain peran,,5,14,4,0.339272,0.357496,26.014846,5,0,0.012618,0.012618,0.001246
google classroom,,5,16,5,0.335119,0.358333,3.82938,0,0,0.018674,0.018674,0.001228
rancangan pembelajaran,,9,20,5,0.347895,0.37774,82.42656,0,0,0.025901,0.025901,0.001983
motivasi,,30,43,4,0.429412,0.469178,2387.882715,5,0,0.066073,0.066072,0.005831
video,video,43,74,4,0.453416,0.5,3211.96696,3,0,0.127766,0.127765,0.007966
kesopanan,,4,10,5,0.346519,0.364041,16.149712,3,0,0.01165,0.01165,0.00101
ppkn,,15,25,5,0.396739,0.430327,468.579982,3,0,0.061584,0.061584,0.002998
matematika,,31,64,4,0.417143,0.461377,470.72117,3,0,0.119149,0.119149,0.005327
permainan,,29,49,4,0.412429,0.455099,1336.476854,3,0,0.077298,0.077298,0.005402
prestasi belajar,,26,38,5,0.42607,0.465068,831.223607,3,0,0.089357,0.089357,0.004831
pemecahan masalah,pemecahan masalah,29,57,4,0.405556,0.449772,998.750627,0,0,0.092673,0.092674,0.005154
ai,,12,25,4,0.382199,0.410959,230.53662,5,0,0.036542,0.036542,0.002469
chatgpt,,8,16,4,0.371186,0.395928,41.130551,5,0,0.028312,0.028312,0.001707
analisis tokoh,,13,20,4,0.361685,0.388128,397.144502,6,0,0.017369,0.017368,0.002991
film,film,43,82,4,0.443769,0.491438,8166.870047,6,0,0.073992,0.073991,0.010086
bahasa indonesia,,19,36,4,0.420749,0.455099,300.784667,0,0,0.093861,0.093861,0.003392
etnomatematika,etnomatematika,33,50,4,0.402204,0.449581,1746.961775,0,0,0.081867,0.081867,0.006412
skrip,,7,13,5,0.315335,0.336111,17.043169,6,0,0.004985,0.004984,0.002019
kurikulum merdeka,Kurikulum Merdeka,26,50,4,0.428991,0.466514,2269.957371,0,0,0.082541,0.082541,0.005107
pewartaan,,9,19,4,0.387954,0.414764,67.94027,2,0,0.031775,0.031775,0.002006
jigsaw,,9,18,5,0.382533,0.410845,126.556214,3,0,0.038699,0.038699,0.001834
keterampilan menulis,,10,16,4,0.389333,0.416476,48.788311,5,0,0.039668,0.039667,0.002089
stad,,13,22,4,0.400732,0.431126,101.99455,3,0,0.062877,0.062877,0.002438
mathcitymap,,9,19,5,0.336147,0.364422,22.179262,0,0,0.025773,0.025773,0.001804
soal,,7,15,5,0.315108,0.33809,26.901817,4,0,0.014174,0.014174,0.001553
aktivitas pembelajaran,,10,21,5,0.342991,0.370091,84.461814,0,0,0.025365,0.025365,0.001969
album musik,,5,12,6,0.269704,0.285426,8.921573,6,0,0.001314,0.001314,0.001712
kearifan lokal,kearifan lokal,14,36,4,0.388298,0.419711,278.422125,3,0,0.047614,0.047614,0.002789
etnopedagogi,,4,9,6,0.274953,0.290145,5.553385,3,0,0.002814,0.002814,0.001285
pembelajaran tematik,,4,9,6,0.282763,0.29882,4.550877,3,0,0.004266,0.004266,0.001205
instagram,instagram,21,27,4,0.41635,0.449962,1869.915527,2,0,0.052951,0.052951,0.004447
tuturan kebencian,,5,9,5,0.324926,0.343569,9.878698,2,0,0.010304,0.010303,0.001334
kartu,,11,20,4,0.383874,0.412861,38.316793,3,0,0.049038,0.049038,0.002151
kepribadian,,9,17,5,0.329323,0.353387,119.755899,6,0,0.007205,0.007205,0.002379
perkembangan kepribadian,,6,12,5,0.325167,0.346689,64.724039,6,0,0.006198,0.006198,0.001678
kolaborasi,,19,32,4,0.410112,0.443874,334.189227,0,0,0.073882,0.073882,0.003498
komprehensi,,9,15,4,0.339798,0.364916,28.27887,5,0,0.01606,0.01606,0.001935
membaca,membaca,31,51,4,0.423188,0.464422,1950.007121,5,0,0.069018,0.069017,0.006
modul-el,,19,28,5,0.375966,0.414726,346.202384,0,0,0.064639,0.064639,0.003568
perempuan,,13,22,4,0.341387,0.368721,624.805511,6,0,0.008305,0.008305,0.003272
video pembelajaran,,11,17,5,0.369309,0.399886,32.327173,3,0,0.044457,0.044457,0.002066
youtube,,18,27,5,0.381201,0.415601,909.891143,2,0,0.031837,0.031837,0.00419
animasi,,13,17,4,0.411654,0.441971,120.459188,3,0,0.069622,0.069622,0.002425
audio visual,,10,19,5,0.383538,0.411035,108.807293,2,0,0.031962,0.031962,0.002183
katekese,,12,21,5,0.393531,0.42226,224.630203,2,0,0.031485,0.031485,0.002581
augmented reality,,6,14,5,0.360494,0.384855,1.914471,3,0,0.031138,0.031138,0.001308
bilangan cacah,,15,24,4,0.39495,0.427892,101.027324,3,0,0.069527,0.069527,0.002735
budi pekerti,,6,9,5,0.362583,0.386758,150.05665,2,0,0.020362,0.020362,0.001473
pendidikan agama katolik,,9,12,4,0.389333,0.417618,351.697314,2,0,0.04037,0.04037,0.001958
buku panduan,,6,11,5,0.322533,0.343455,36.203007,3,0,0.011521,0.011521,0.001424
kepemimpinan,,8,16,5,0.353226,0.376104,155.302889,1,0,0.012235,0.012235,0.001815
senang belajar,,6,14,5,0.341654,0.363204,8.928113,1,0,0.014414,0.014415,0.001345
digital,digital,24,32,4,0.424419,0.460616,1847.715416,2,0,0.066607,0.066606,0.005033
discovery learning,,21,29,5,0.392825,0.430632,308.445852,3,0,0.073177,0.073177,0.003814
feminisme,,9,19,5,0.326136,0.350038,117.239562,6,0,0.007384,0.007384,0.002306
flipped learning,,13,19,4,0.411268,0.440639,155.136838,3,0,0.071709,0.071709,0.002502
game,,24,31,4,0.41635,0.455099,777.657593,3,0,0.078202,0.078202,0.004544
kosakata,kosakata,30,37,4,0.446939,0.484589,1758.011696,3,0,0.10396,0.103959,0.005646
gotong royong,,6,15,5,0.346793,0.373516,10.8583,0,0,0.028912,0.028912,0.001306
keaktifan,,20,29,5,0.396022,0.434132,350.331306,3,0,0.082557,0.082557,0.003591
orang muda katolik,OMK,16,34,4,0.391421,0.423516,1018.160963,2,0,0.028475,0.028475,0.003698
ingin tahu,,15,25,4,0.406308,0.439498,463.607068,1,0,0.055309,0.055309,0.002891
integritas,,5,12,5,0.325893,0.345167,1.650173,1,0,0.009369,0.009369,0.001213
kecemasan,,11,14,4,0.361386,0.388508,178.183456,5,0,0.024032,0.024031,0.002405
kecemasan berbicara,,6,9,5,0.301031,0.318645,11.98311,5,0,0.004982,0.004982,0.00156
keterlibatan,,18,22,4,0.374039,0.406773,745.77174,2,0,0.027443,0.027443,0.003994
komunikasi,,16,25,4,0.384886,0.41914,486.282038,0,0,0.062034,0.062034,0.003009
literasi matematika,,23,34,4,0.384886,0.426941,496.7094,0,0,0.07181,0.071811,0.004133
sumber daya alam,,13,21,5,0.384886,0.416743,113.588709,0,0,0.061537,0.061537,0.002406
perkalian,,23,34,4,0.410497,0.449011,213.171886,3,0,0.109582,0.109582,0.003953
penghayatan,,6,12,5,0.303956,0.322907,18.826026,2,0,0.004929,0.004929,0.001599
pmri,,22,28,4,0.4,0.438737,584.806236,0,0,0.069786,0.069786,0.004056
representasi matematis,,17,23,4,0.378238,0.415715,257.95065,0,0,0.058358,0.058358,0.00316
pengalaman hidup,,8,12,4,0.346519,0.370814,86.727431,5,0,0.01534,0.01534,0.001806
literasi membaca,,4,8,5,0.296547,0.314003,13.090871,4,0,0.005185,0.005185,0.001065
desmos,,18,28,5,0.401835,0.437938,274.704769,3,0,0.075943,0.075943,0.003286
alih kode,,6,10,5,0.319009,0.339079,32.65881,2,0,0.008777,0.008776,0.001621
campur kode,,4,9,5,0.316245,0.334513,14.898025,2,0,0.007251,0.007251,0.001177
android,,7,13,5,0.369932,0.396842,24.662282,0,0,0.033107,0.033107,0.001479
aplikasi,,21,26,4,0.418738,0.454909,1056.277967,0,0,0.066223,0.066223,0.004079
kontekstual,,18,27,4,0.380208,0.417237,323.882541,0,0,0.04753,0.04753,0.003367
bangun datar,,12,17,4,0.391071,0.421804,135.083757,3,0,0.057003,0.057003,0.002256
bangun ruang sisi datar,,17,21,4,0.408582,0.442352,306.310813,0,0,0.076857,0.076857,0.003063
kepercayaan diri,,10,14,4,0.344882,0.368531,1056.769377,5,0,0.00939,0.00939,0.002847
bermain,,6,8,4,0.337963,0.356735,154.70531,2,0,0.008058,0.008058,0.00167
game online,,8,11,4,0.345699,0.36739,309.768505,2,0,0.012839,0.012839,0.002091
multimodalitas,,5,7,5,0.324204,0.344254,154.725193,3,0,0.005466,0.005466,0.001592
tarian,,7,16,5,0.358429,0.384285,210.492569,3,0,0.020365,0.020365,0.001739
kebaikan hati,,7,12,5,0.342723,0.365487,30.040047,1,0,0.015036,0.015037,0.001535
citra,,7,13,5,0.323725,0.345662,40.235243,6,0,0.006349,0.006349,0.001808
diftong,,3,5,5,0.283312,0.296005,5.574396,5,0,0.001911,0.001911,0.001095
pengucapan,,5,7,5,0.342455,0.363356,169.677706,5,0,0.012404,0.012404,0.001487
eksperimen,,7,9,5,0.390027,0.41739,27.968815,3,0,0.048014,0.048014,0.001467
etno-stem,,4,6,5,0.322296,0.3414,7.162831,0,0,0.009474,0.009474,0.001076
makanan,,6,8,5,0.35209,0.379414,47.61462,0,0,0.024155,0.024155,0.001478
instrumen,,11,14,4,0.361685,0.38946,225.564717,1,0,0.026234,0.026234,0.002441
fitur bahasa,,3,5,5,0.312411,0.328653,6.028824,6,0,0.003481,0.003481,0.001097
gaya bahasa,,7,11,5,0.319242,0.341438,285.965775,6,0,0.005066,0.005066,0.002049
identitas,,13,15,4,0.356678,0.383752,375.133563,5,0,0.018754,0.018754,0.002821
resiliensi,,15,18,4,0.397099,0.428082,2740.598122,5,0,0.027257,0.027257,0.003758
hidup menggereja,,5,8,5,0.306294,0.324315,234.006671,2,0,0.003829,0.003829,0.00154
keluarga,,13,19,4,0.336406,0.362253,474.533132,2,0,0.007667,0.007667,0.003255
umat,,15,21,4,0.387954,0.419711,1333.122326,2,0,0.031357,0.031357,0.00348
infografis,,6,8,5,0.37372,0.399886,27.852268,3,0,0.03893,0.03893,0.001377
profil pelajar pancasila,,16,24,4,0.410112,0.4414,308.035915,0,0,0.062068,0.062068,0.003049
kedisiplinan,,9,13,5,0.391421,0.419292,49.028946,3,0,0.046847,0.046847,0.001837
kemandirian belajar,,5,7,4,0.339272,0.358067,9.100322,3,0,0.010778,0.010777,0.00133
kerja sama,kerja sama,14,18,5,0.379221,0.411796,1001.507935,1,0,0.038141,0.038141,0.003011
kesalahan,,13,16,4,0.364696,0.394026,475.09086,5,0,0.029292,0.029292,0.00286
literasi keuangan,,8,10,5,0.345154,0.368607,411.326999,5,0,0.011398,0.011398,0.002257
quizizz,,6,8,5,0.333841,0.359855,19.736512,1,0,0.018726,0.018727,0.001446
reaksi redoks,,6,10,5,0.319009,0.341933,33.587787,1,0,0.012697,0.012697,0.001442
operasi hitung,,13,17,4,0.394595,0.425799,35.649128,3,0,0.070935,0.070935,0.002363
membaca akademik,,11,14,4,0.35012,0.376142,87.24331,5,0,0.016409,0.016408,0.002405
mendengarkan,,9,13,5,0.368997,0.3957,63.793486,5,0,0.02945,0.02945,0.001925
metakognitif,,12,18,4,0.345972,0.373478,89.520341,5,0,0.017,0.017,0.0026
minat,,20,26,4,0.388642,0.422755,1113.333046,5,0,0.033801,0.033801,0.004381
ppg,,5,8,4,0.357551,0.377473,14.872387,5,0,0.015303,0.015303,0.001271
nanoteknologi,,5,9,5,0.35012,0.37325,118.299613,0,0,0.015178,0.015178,0.001319
pengambilan keputusan,,8,10,5,0.355231,0.383409,12.505587,0,0,0.035025,0.035025,0.00166
praktikum,,7,11,5,0.368997,0.394863,54.524595,0,0,0.02687,0.02687,0.001599
pacaran,,3,5,5,0.286462,0.300495,343.963866,2,0,0.001351,0.001351,0.001249
toxic relationship,,3,5,6,0.227061,0.238242,7.798438,2,0,0.000076,0.000076,0.001426
statistika,,11,15,5,0.340326,0.371461,81.282969,0,0,0.027384,0.027384,0.002149
umpan balik,,3,3,5,0.340062,0.35917,0,5,0,0.013773,0.013772,0.000846
penilaian harian,,3,5,4,0.347068,0.365487,2.52462,5,0,0.011724,0.011724,0.000868
perangkat pembelajaran,,9,12,5,0.359311,0.387139,37.170789,0,0,0.038856,0.038856,0.00176
ular tangga,,6,10,5,0.36962,0.394559,6.861,3,0,0.027056,0.027056,0.001329
spiritualitas,,9,10,4,0.382867,0.409817,347.704957,2,0,0.022803,0.022802,0.00216
makanan sehat,,7,9,5,0.32711,0.351712,53.473758,4,0,0.014779,0.014779,0.001568
pendidik,,5,8,5,0.316932,0.334551,3.873157,2,0,0.006574,0.006574,0.001315
antagonis,,3,4,5,0.314204,0.331164,1.433906,6,0,0.004148,0.004148,0.000962
bahasa gaul,,3,4,4,0.323964,0.339802,9.629799,2,0,0.006825,0.006825,0.000885
bangun ruang,,9,11,4,0.386243,0.414764,39.139245,3,0,0.049387,0.049387,0.001794
barisan,,4,5,5,0.312857,0.332839,0.556937,0,0,0.010735,0.010735,0.001034
deret,,4,5,5,0.312857,0.332839,0.556937,0,0,0.010735,0.010735,0.001034
batik,,9,10,4,0.365915,0.392884,128.227265,0,0,0.0266,0.0266,0.001939
bekerja,,4,5,5,0.264493,0.279186,9.512698,5,0,0.000608,0.000608,0.001466
paruh waktu,,4,5,5,0.264493,0.279186,9.512698,5,0,0.000608,0.000608,0.001466
bentuk aljabar,,6,7,5,0.372133,0.398174,13.589203,3,0,0.035533,0.035533,0.001277
pembelajaran berbasis gim,,5,6,5,0.368067,0.392085,1.099082,5,0,0.030614,0.030613,0.001144
tiktok,,5,8,5,0.345972,0.367922,46.831302,5,0,0.018488,0.018488,0.001233
berhitung,,8,12,4,0.375321,0.401826,13.117228,3,0,0.040271,0.04027,0.001599
kesulitan belajar,,8,9,4,0.368687,0.393265,129.462302,5,0,0.023212,0.023212,0.001821
covid-19,,8,10,5,0.343799,0.368645,421.689565,3,0,0.017209,0.017209,0.002205
kecerdasan sosial,,5,10,5,0.327844,0.349429,8.928113,1,0,0.010994,0.010994,0.001179
buku teks,,12,13,4,0.367142,0.394216,454.79895,5,0,0.024455,0.024455,0.002747
gender,,6,7,5,0.336664,0.355479,113.895237,5,0,0.008238,0.008238,0.001564
candi,,4,5,5,0.327844,0.353539,5.160414,0,0,0.015558,0.015558,0.000982
canva,,10,12,4,0.400366,0.428463,87.713496,3,0,0.051681,0.051681,0.002004
upacara adat,,3,5,5,0.285528,0.300457,13.024751,3,0,0.002869,0.002869,0.000982
fungsi kuadrat,,7,8,5,0.377261,0.403995,39.97819,3,0,0.038895,0.038895,0.001437
hubungan antarsudut,,5,6,5,0.363485,0.387709,0.529447,3,0,0.03173,0.03173,0.001118
pemahaman konsep,pemahaman konsep,38,47,4,0.43669,0.483257,1450.801354,3,0,0.131126,0.131126,0.006606
lkpd-el,,20,26,5,0.371817,0.412861,541.898236,3,0,0.052814,0.052814,0.003794
disposisi matematis,,7,8,5,0.34326,0.371461,5.734198,0,0,0.030561,0.030561,0.001419
distraksi smartphone,,5,6,5,0.378238,0.40274,1.167508,3,0,0.037528,0.037528,0.001123
doa bersama,,7,10,5,0.310638,0.329642,18.747417,2,0,0.005147,0.005147,0.001803
keluarga katolik,,5,7,5,0.317391,0.333409,11.126847,2,0,0.006062,0.006062,0.001336
dukungan sosial,,6,8,5,0.309322,0.329871,45.873488,2,0,0.003886,0.003886,0.001651
